File,Max Bits,Compression Success,Compression Time (s),Decompression Success,Decompression Time (s),Match Original,Original Size (bytes),Compressed Size (bytes),Size Delta (bytes),File Type,CPU Usage (%),Memory Usage (%),Disk Usage (%),Compression Output,Decompression Output
repeating_words.txt,13,True,0.17997479438781738,True,0.07884764671325684,True,2600,502,2098.0,.txt,8.587257617728516,0.0,5.798747712987081e-05,"Tempo de execução: 0.1120 segundos
Taxa de compressão: 10.3586
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 10.3586
"
special_characters.txt,13,True,0.17089247703552246,True,0.07663178443908691,True,11,22,-11.0,.txt,0.0,0.26201565247667874,4.744416566311274e-05,"Compressão aumentou o tamanho do arquivo. Retornando o original.
Tempo de execução: 0.0980 segundos
Taxa de compressão: 1.0000
","Tempo de execução: 0.0000 segundos
Taxa de descompressão: 1.0000
"
binary_pattern.bin,13,True,0.09467411041259766,True,0.08173823356628418,False,256,32,224.0,.bin,0.0,0.03617704458967409,4.7444035608646486e-05,"Tempo de execução: 0.0213 segundos
Taxa de compressão: 16.0000
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 8.0000
"
json_data.txt,13,True,0.08927226066589355,True,0.08275628089904785,True,47,82,-35.0,.txt,0.0,0.16230240489313869,6.853009663929724e-05,"Tempo de execução: 0.0194 segundos
Taxa de compressão: 1.1463
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.1463
"
mixed_case_text.txt,13,True,0.11705136299133301,True,0.07420611381530762,True,810,388,422.0,.txt,8.81458966565348,0.24147843782101105,5.5351053911742006e-05,"Tempo de execução: 0.0472 segundos
Taxa de compressão: 4.1753
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 4.1753
"
html_snippet.txt,13,True,0.10461759567260742,True,0.08075189590454102,True,72,108,-36.0,.txt,5.630630630630635,0.0,4.744362794253617e-05,"Tempo de execução: 0.0250 segundos
Taxa de compressão: 1.3333
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.3333
"
small_image.bmp,13,True,0.35001587867736816,True,0.0717918872833252,False,10000,562,9438.0,.bmp,0.0,0.0,4.744349789101791e-05,"Tempo de execução: 0.2814 segundos
Taxa de compressão: 35.5872
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 35.5872
"
html_page.txt,13,True,0.1737973690032959,True,0.07695937156677246,True,2360,902,1458.0,.txt,0.0,0.0,5.271482675667548e-05,"Tempo de execução: 0.1039 segundos
Taxa de compressão: 5.2328
","Tempo de execução: 0.0004 segundos
Taxa de descompressão: 5.2328
"
html_long_text.txt,13,True,0.1898648738861084,True,0.06934618949890137,True,2807,772,2035.0,.txt,27.596439169139476,0.8203650260676737,5.2714646131851985e-05,"Tempo de execução: 0.1193 segundos
Taxa de compressão: 7.2720
","Tempo de execução: 0.0004 segundos
Taxa de descompressão: 7.2720
"
small_text.txt,13,True,0.08964920043945312,True,0.07451033592224121,True,47,86,-39.0,.txt,0.7594936708860733,0.0,5.535019316031337e-05,"Tempo de execução: 0.0192 segundos
Taxa de compressão: 1.0930
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.0930
"
